V101,StateName
222168628,New Hampshire
273691199,Louisiana
284214415,Missouri
287557695,Alabama
290387662,Colorado
290932100,Alabama
292860642,Texas
295367942,Pennsylvania
295717127,Georgia
295859014,Pennsylvania
295888620,Hawaii
296199019,Texas
297495398,Florida
297527424,Texas
297663931,Kansas
297740816,Pennsylvania
298212031,New Jersey
298366800,Texas
299198520,New York
299215351,Florida
299405159,New York
299793268,California
299902613,Massachusetts
299908201,Maine
299929287,California
299970279,Maryland
300192534,Florida
300268069,North Carolina
300276713,Michigan
300404327,Texas
300471960,Oregon
300472143,Texas
300475391,Montana
300488631,Arizona
300497686,Pennsylvania
300529401,Michigan
300578507,Texas
300579464,Washington
300598929,Virginia
300678759,California
300756130,California
300771894,South Carolina
300785191,Michigan
300792887,New York
300794462,Florida
300812646,Arkansas
300854334,Connecticut
300890176,Tennessee
300894516,California
300895096,Massachusetts
300897428,Nevada
300912672,Illinois
300924908,Texas
300931090,California
300937070,New York
300985440,New Jersey
300996404,California
301008043,Tennessee
301021702,West Virginia
301034555,Oklahoma
301041731,Massachusetts
301041752,Texas
301044953,Indiana
301045806,California
301046432,Maryland
301055438,Texas
301061580,North Carolina
301089549,Wisconsin
301090115,Maryland
301092237,California
301092877,Missouri
301102547,Nevada
301103395,Michigan
301112096,Texas
301113111,Ohio
301113362,Utah
301113419,Pennsylvania
301113967,Texas
301114401,Texas
301114636,Oklahoma
301114710,Washington
301117572,Missouri
301117815,Wyoming
301121236,Pennsylvania
301121655,New York
301124525,Florida
301124709,California
301124791,Maryland
301130433,District of Columbia
301131047,Illinois
301133359,Oregon
301133627,Florida
301134058,North Carolina
301153989,New York
301180245,Indiana
301181732,Idaho
301184882,Alabama
301185042,Virginia
301185187,Minnesota
301190366,Virginia
301197289,Texas
301197457,Alabama
301199037,Washington
301204493,Michigan
301227338,California
301227666,Georgia
301227687,New York
301236412,Illinois
301237143,Connecticut
301256200,Massachusetts
301278981,Maryland
301317462,Michigan
301317593,Florida
301326200,Missouri
301328552,Ohio
301328555,Maine
301328578,North Carolina
301328590,Virginia
301328674,Missouri
301330430,Michigan
301330810,Texas
301331772,Ohio
301331809,New York
301333954,West Virginia
301334756,Texas
301334843,Washington
