StateAbb,TotalVotes,GayMarriage,ProhibitFedFunds_16,Employersdeclinebenefits_16,ProhibitMoreThan20Weeks_16,RapeIncestorHealth_16,AlwaysAllowChoice_16,MakeCCPEasier_16,BanAssultWeapons_16,ProhibitPublication_16,GunBackgroundChecks_16
AK,109,0.614678899,0.495412844,0.495412844,0.559633028,0.412844037,0.532110092,0.449541284,0.532110092,0.669724771,0.779816514
AL,764,0.517015707,0.520942408,0.490837696,0.688481675,0.515706806,0.519633508,0.447643979,0.592931937,0.64921466,0.884816754
AR,525,0.499047619,0.546666667,0.554285714,0.662857143,0.52952381,0.44,0.438095238,0.620952381,0.613333333,0.885714286
AZ,1465,0.647098976,0.493515358,0.4778157,0.623208191,0.464163823,0.591808874,0.410921502,0.61774744,0.629351536,0.863481229
CA,5860,0.702901024,0.395392491,0.37440273,0.539419795,0.418259386,0.695904437,0.365017065,0.703071672,0.56774744,0.915870307
CO,984,0.683943089,0.448170732,0.43699187,0.557926829,0.412601626,0.629065041,0.432926829,0.589430894,0.638211382,0.87703252
CT,710,0.749295775,0.370422535,0.336619718,0.557746479,0.387323944,0.694366197,0.3,0.738028169,0.564788732,0.929577465
DC,186,0.833333333,0.26344086,0.247311828,0.451612903,0.317204301,0.817204301,0.258064516,0.779569892,0.467741935,0.919354839
DE,261,0.689655172,0.402298851,0.398467433,0.593869732,0.402298851,0.716475096,0.318007663,0.697318008,0.528735632,0.931034483
FL,4855,0.634809475,0.46961895,0.445932029,0.608032956,0.464057673,0.640782698,0.371781668,0.673120494,0.582286303,0.914521112
GA,2000,0.581,0.502,0.494,0.6285,0.487,0.5965,0.382,0.6445,0.607,0.902
HI,192,0.677083333,0.390625,0.338541667,0.505208333,0.364583333,0.739583333,0.28125,0.807291667,0.541666667,0.947916667
IA,669,0.687593423,0.457399103,0.439461883,0.617339312,0.44245142,0.553064275,0.367713004,0.641255605,0.581464873,0.908819133
ID,317,0.561514196,0.555205047,0.567823344,0.694006309,0.539432177,0.514195584,0.492113565,0.482649842,0.728706625,0.80126183
IL,2569,0.684312962,0.418840016,0.400544959,0.588166602,0.426625146,0.691708836,0.356558972,0.708446866,0.564811211,0.926041261
IN,1368,0.619152047,0.494152047,0.49122807,0.657163743,0.472953216,0.536549708,0.380847953,0.643274854,0.589181287,0.920321637
KS,530,0.654716981,0.475471698,0.471698113,0.601886792,0.539622642,0.537735849,0.383018868,0.624528302,0.635849057,0.890566038
KY,909,0.570957096,0.543454345,0.540154015,0.662266227,0.504950495,0.473047305,0.442244224,0.598459846,0.616061606,0.889988999
LA,676,0.523668639,0.554733728,0.548816568,0.661242604,0.550295858,0.485207101,0.482248521,0.594674556,0.615384615,0.893491124
MA,1402,0.792439372,0.338088445,0.300998573,0.522824536,0.380171184,0.749643367,0.282453638,0.745363766,0.527104137,0.937945792
MD,1167,0.698371894,0.382176521,0.368466153,0.540702656,0.395886889,0.713796058,0.332476435,0.741216795,0.572407883,0.933161954
ME,324,0.716049383,0.450617284,0.419753086,0.604938272,0.416666667,0.604938272,0.413580247,0.657407407,0.608024691,0.716049383
MI,2072,0.642857143,0.454150579,0.446911197,0.631274131,0.44980695,0.596042471,0.35472973,0.666988417,0.583011583,0.917953668
MN,1054,0.674573055,0.436432638,0.398481973,0.595825427,0.416508539,0.617647059,0.373814042,0.693548387,0.605313093,0.886148008
MO,1270,0.612598425,0.516535433,0.503937008,0.633070866,0.500787402,0.526771654,0.448031496,0.61023622,0.64488189,0.88503937
MS,399,0.488721805,0.551378446,0.541353383,0.664160401,0.556390977,0.513784461,0.476190476,0.621553885,0.639097744,0.897243108
MT,187,0.561497326,0.540106952,0.518716578,0.636363636,0.43315508,0.497326203,0.572192513,0.465240642,0.695187166,0.700534759
NC,1954,0.576253838,0.466734903,0.463664278,0.623848516,0.463152508,0.593142272,0.376151484,0.657113613,0.562947799,0.897645855
ND,123,0.617886179,0.487804878,0.471544715,0.601626016,0.43902439,0.569105691,0.447154472,0.528455285,0.658536585,0.886178862
NE,362,0.621546961,0.516574586,0.519337017,0.671270718,0.455801105,0.555248619,0.38121547,0.651933702,0.546961326,0.900552486
NH,365,0.805479452,0.367123288,0.334246575,0.553424658,0.383561644,0.687671233,0.334246575,0.690410959,0.589041096,0.912328767
NJ,1784,0.721973094,0.392376682,0.369394619,0.576233184,0.457399103,0.685538117,0.307735426,0.755605381,0.544843049,0.944506726
NM,374,0.679144385,0.395721925,0.411764706,0.529411765,0.42513369,0.639037433,0.427807487,0.644385027,0.614973262,0.871657754
NV,686,0.679300292,0.39941691,0.387755102,0.555393586,0.430029155,0.705539359,0.406705539,0.641399417,0.587463557,0.814868805
NY,4202,0.726558782,0.381247025,0.354831033,0.566872918,0.431937173,0.724178962,0.336506426,0.721799143,0.535935269,0.933365064
OH,2640,0.634848485,0.493560606,0.479166667,0.634848485,0.490530303,0.572727273,0.377651515,0.679166667,0.594318182,0.897727273
OK,606,0.572607261,0.5,0.485148515,0.679867987,0.49339934,0.49009901,0.435643564,0.561056106,0.668316832,0.871287129
OR,981,0.685015291,0.399592253,0.401630989,0.523955148,0.385321101,0.646279307,0.399592253,0.642201835,0.601427115,0.872579001
